,i,Silhoutte_Score,CH_Score,DB_Score
0,2,0.2739710996316958,2.8081223586214525,0.5903942111977907
1,3,0.17639410378249992,2.3933845011359054,0.6657152531071846
2,4,0.1667689907163107,2.338168141092305,0.6649774485912348
3,5,0.1426333858076664,2.220614018944266,0.6808935849058593
4,6,0.13615663121558402,2.165655791349171,0.6855965510647694
5,7,0.13575949186083977,2.2406706267716445,0.6750171602541356
6,8,0.13506367089987012,2.3951044584809167,0.8637906488638407
7,9,0.11791803699043722,2.321729542379712,0.8495530302051857
8,10,0.1165091606642793,2.6671188691230854,1.0190581595575383
9,11,0.1154297885300465,3.6369224965187144,1.1593569454650103
10,12,0.11410500092033565,3.449105657792543,1.0471098175730789
11,13,0.10018205965168968,3.2983477011924003,1.0283799804205374
12,14,0.09862029729576333,3.1897950700463884,1.107999753886052
13,15,0.09729851878860545,3.062650601924003,1.0892183362576346
14,16,0.09593028587543102,3.3117582718537903,1.1665235559413691
15,17,0.09094360555695691,3.3293186670124597,1.1965283620390073
16,18,0.08897315608033805,3.532771122594591,1.2551661531036444
17,19,0.08795605198916757,3.6526536252761197,1.2628320322787487
18,20,0.08631738179481545,3.6534007768380636,1.2818366630668212
19,21,0.08089919702776263,3.559112495054145,1.2562747720812344
20,22,0.08018304007503008,3.4602963013256662,1.217416577018864
21,23,0.07060966478183767,3.3715017283188913,1.199562108911535
22,24,0.07002349571854996,3.2710011469889384,1.1779605577418486
23,25,0.06887213087464306,3.2645693532084423,1.1876226643100665
24,26,0.06755215113286094,3.1841284546977957,1.1788143391910577
25,27,0.06607990656072527,3.15378915515116,1.194472183152193
26,28,0.06509909259547556,3.1727086934771815,1.2105950557652185
27,29,0.064292268672807,3.172360679726718,1.2311130843454645
28,30,0.06298978928819446,3.2072286903859353,1.248886511956598
29,31,0.05880690649778872,3.1819473224475145,1.253799572888028
30,32,0.058494788943895336,3.142867284264107,1.236674310974267
31,33,0.05706094041585573,3.1672121498705756,1.2570030478810987
32,34,0.05541288794604451,3.4278493697788477,1.302020947463638
33,35,0.05192778073221042,3.394812532043423,1.3097778889944949
34,36,0.04966512339378999,3.334217068304888,1.299249957313106
35,37,0.04718244821377008,3.3741334200492283,1.3125543680518295
36,38,0.04561027805416046,3.368863028786285,1.3213895491656726
37,39,0.04436821607864506,3.341964801840607,1.3253610327772034
38,40,0.043808809944473004,3.3158789467356904,1.3296845389507959
39,41,0.04208466748378282,3.2620203345098693,1.2944743066718598
40,42,0.039713561552630124,3.3443680788401156,1.3203841339168891
41,43,0.039587399517563085,3.351387244508497,1.3305040443872138
42,44,0.039301366774005045,3.3100254897306116,1.3161815718294312
43,45,0.03712561297977939,3.271386704025175,1.304291600910383
44,46,0.036630214587369606,3.251121609857889,1.3084901045787212
45,47,0.03581965667560993,3.2082767015415334,1.289515984664757
46,48,0.03571601154494437,3.1622559672013084,1.2701228208459234
47,49,0.03265325805407372,3.128578750204412,1.2604709107502485
