,i,Silhoutte_Score,CH_Score,DB_Score
0,2,0.060597107,593.9434164093187,3.8138271514516
1,3,0.056283385,514.3038871208913,3.4889738134396606
2,4,0.0410146,419.4462215390834,3.5519824424004995
3,5,0.041885696,369.408690670805,3.580087731744643
4,6,0.04411529,330.3272315317665,3.5880484833730755
5,7,0.04061948,301.0782245724284,3.455672769688836
6,8,0.0386654,276.57392959390074,3.46444378239096
7,9,0.036464445,255.0029552810541,3.5142515537739025
8,10,0.036966447,237.76719165301904,3.403705067845286
9,11,0.038315494,222.96574082294478,3.4705923822881344
10,12,0.03457579,210.28680618684726,3.3932805714689085
11,13,0.037014063,199.2883426516485,3.4193835764178577
12,14,0.031511914,189.43174674839523,3.5162462675188784
13,15,0.0318639,181.1924751267156,3.4348587603512453
14,16,0.031134399,173.03525756463577,3.419074597751774
15,17,0.029877787,165.79571444511967,3.475090303495953
16,18,0.027710095,158.99598687057866,3.5507669696510207
17,19,0.028085005,153.60460423109677,3.500466853637201
18,20,0.030844213,147.9645206718583,3.532406710637577
19,21,0.030239185,143.10916425751458,3.4772848575659907
20,22,0.028359082,138.28211990132297,3.434121297166345
21,23,0.02816331,134.4924786659879,3.457068404275397
22,24,0.02687525,130.19549035594665,3.4289203348168935
23,25,0.026388654,126.33001065489118,3.425366456676754
24,26,0.026900195,122.74361905309601,3.4514689485821672
25,27,0.028164411,119.61414668372748,3.4437107872133796
26,28,0.026823077,116.62826815240645,3.4822744621814037
27,29,0.026712852,114.1620971904504,3.334089040863772
28,30,0.025225595,110.83215952824143,3.453393521460174
29,31,0.0264436,108.40390713556273,3.4361127369863156
30,32,0.028973948,105.93598881015551,3.4077642913530592
31,33,0.026823092,103.72463523151674,3.3826885540025113
32,34,0.025522979,101.58966969662502,3.37869586881066
33,35,0.026710585,99.54253355203075,3.4204761586056653
34,36,0.024060253,97.65262936895785,3.422231809965965
35,37,0.025675567,95.61150250852165,3.4455065033942733
36,38,0.024592035,94.13977217590738,3.3837049069952507
37,39,0.0238257,91.97631431307272,3.440166089211357
38,40,0.02474312,90.50344411898881,3.3454485487707317
39,41,0.025575755,88.49001873749027,3.428272587093145
40,42,0.025959363,87.58687383434584,3.397353835202824
41,43,0.023590429,85.87499233053475,3.4075693576544976
42,44,0.025235157,84.53091891449228,3.379455212146306
43,45,0.024775706,83.36395620778697,3.3616089307286403
44,46,0.02431335,81.80332659766628,3.373463604335328
45,47,0.025347834,80.79366153707375,3.3776234997353325
46,48,0.025508678,79.11315807291602,3.392565293233405
47,49,0.023902506,78.15052689500693,3.362823518641002
