,i,Silhoutte_Score,CH_Score,DB_Score
0,2,0.1707701,4.147924742281638,1.4643312773567256
1,3,0.118385985,3.8537728326378353,2.0190692541059905
2,4,0.10235849,3.1305915694447277,1.7058660368771652
3,5,0.08707782,2.7237909032534855,1.5178588044368564
4,6,0.068554744,15.30445646587771,2.310685999001007
5,7,0.056871723,13.57990206571303,2.3879433730969715
6,8,0.05348839,13.386625194892373,2.5019543953310004
7,9,0.049527038,11.853288632314158,2.2728697053188864
8,10,0.038267445,10.689455221739978,2.1119036900535546
9,11,0.033874977,19.810672470082885,2.271511800604093
10,12,0.031103628,19.17647782249408,2.332895209940233
11,13,0.022790998,18.159033073949804,2.3570628048189146
12,14,0.0218508,17.004448598639648,2.3528715490381598
13,15,0.020733505,15.961416343677787,2.351539957574977
14,16,0.020078072,15.17593203514244,2.3275227866862385
15,17,0.019834403,14.334692663046349,2.2909466390752193
16,18,0.019473216,13.59594180682588,2.2828248596673975
17,19,0.011420029,14.262169554472644,2.3447863171311476
18,20,0.0081063565,13.9756369948487,2.3855369621400486
19,21,0.006543091,13.583449512439024,2.4299394242466503
20,22,0.003142927,13.169075802499792,2.4140471461339783
21,23,0.0025916437,12.676061975860339,2.407601438228077
22,24,-0.0004394406,12.357266614416751,2.3878641994574354
23,25,-0.0026840158,13.445154006399138,2.439941403914548
24,26,-0.004323037,12.960887713791204,2.3760312663663044
25,27,-0.004551411,12.560196489980624,2.3657976060483623
26,28,-0.005423709,12.211606600755553,2.3549954084795313
27,29,-0.009039768,11.858520271309775,2.337523210418323
28,30,-0.0100534875,11.521868928682036,2.3197950382544685
29,31,0.0003801953,18.666309725337392,2.4442802492442177
30,32,0.00030341663,19.215908460715596,2.5166137318307453
31,33,-0.002525258,18.731749797281356,2.5191379910685887
32,34,-0.0040839133,18.25139018155752,2.5017245817888814
33,35,-0.0025491063,19.392772244434408,2.5491198224542506
34,36,-0.004560907,19.07398011257288,2.5459443719365895
35,37,-0.0052920934,18.639535854527594,2.5395648374909516
36,38,-0.0061587235,18.26509515090023,2.551365448840397
37,39,-0.005879079,18.146069891814406,2.577840477511148
38,40,-0.006707221,17.740271938131837,2.555123405926801
39,41,-0.0066269357,17.909789301958938,2.5641495068437647
40,42,-0.006965406,17.72988195532662,2.574591915266325
41,43,-0.009482055,17.43678042742933,2.564479704527218
42,44,-0.00994919,17.081041274636245,2.5341121284031756
43,45,-0.005477667,20.459839462563924,2.595904242889825
44,46,-0.0055112937,20.131109592179232,2.5931147887992667
45,47,-0.0057959803,19.819524395754396,2.5869673023615465
46,48,-0.005998653,19.42348803857683,2.5411611828756158
47,49,-0.008554865,19.26758891125756,2.5654462636373414
